group_key,is_rep,priority,group_size,jp_type,section,index,id_hex,slot,ja,ja_tpl,locks
注意，來了。,1,51,2,kanji_term,0,0,22A000A8,text1,\x91注意，來了。,{{L000}}注意，來了。,"[""\\x91""]"
注意，來了。,0,51,2,kanji_term,0,0,22A000A8,text2,\x91注意，來了。,{{L000}}注意，來了。,"[""\\x91""]"
けっこうデケエな。,1,89,1,normal,0,0,22A000A8,text3,\x81けっこうデケエな。,{{L000}}けっこうデケエな。,"[""\\x81""]"
か小さい……っていうか、小さすぎる。,1,78,2,normal,0,1,098D536B,text1,\xBD\x95か小さい……っていうか、小さすぎる。,{{L000}}{{L001}}か小さい……っていうか、小さすぎる。,"[""\\xBD"", ""\\x95""]"
か小さい……っていうか、小さすぎる。,0,78,2,normal,0,1,098D536B,text2,\xBD\x95か小さい……っていうか、小さすぎる。,{{L000}}{{L001}}か小さい……っていうか、小さすぎる。,"[""\\xBD"", ""\\x95""]"
ェ、スゲェ数。,1,87,1,normal,0,1,098D536B,text3,\xB8ェ、スゲェ数。,{{L000}}ェ、スゲェ数。,"[""\\xB8""]"
に、あんなのに咬まれたらタダじゃすまねぇわ。,1,92,1,normal,0,1,098D536B,text4,\x81\x8Bに、あんなのに咬まれたらタダじゃすまねぇわ。,{{L000}}{{L001}}に、あんなのに咬まれたらタダじゃすまねぇわ。,"[""\\x81"", ""\\x8B""]"
カイって、あれがか？ 自分が見たのはもっと、比べ物にならないぐらい,1,110,1,normal,0,2,1096622A,text3,"カイって、あれがか？
自分が見たのはもっと、比べ物にならないぐらい#@－－#","カイって、あれがか？
自分が見たのはもっと、比べ物にならないぐらい{{L000}}","[""#@－－#""]"
ぐらい,1,73,1,normal,0,2,1096622A,text4,\x81\x84ぐらい#@－－#,{{L000}}{{L001}}ぐらい{{L002}},"[""\\x81"", ""\\x84"", ""#@－－#""]"
比啊,1,47,2,kanji_term,0,3,5FD7F4ED,text1,\x83\xBD比啊#@－－#,{{L000}}{{L001}}比啊{{L002}},"[""\\x83"", ""\\xBD"", ""#@－－#""]"
比啊,0,47,2,kanji_term,0,3,5FD7F4ED,text2,\x83\xBD比啊#@－－#,{{L000}}{{L001}}比啊{{L002}},"[""\\x83"", ""\\xBD"", ""#@－－#""]"
是也。,1,48,2,kanji_term,0,4,46CCC5AC,text1,是也。,是也。,[]
是也。,0,48,2,kanji_term,0,4,46CCC5AC,text2,是也。,是也。,[]
