start_offset_hex,start_offset_dec,byte_budget,ref_count,ja,locks,kr
0x1014,4116,89,9,"在不知為何處的積雪荒野，
一位失去名字和記憶的青年徬徨於此。",[],
0x116A,4458,110,23,"他被來路不明的怪物襲擊，在千鈞一髮之際，
擁有野獸特徵的少女久遠出手相救。",[],
0x12CC,4812,86,435,"受到保護的青年，被取名為「哈克」，
他和久遠一起踏上旅途。",[],
0x13DB,5083,61,418,在落腳的山村旅店中等待哈克的是新的邂逅。,[],
0x1514,5396,137,25,"俠義人士的首領右近，大國大和的貴族麻呂呂。
哈克和他們意氣相投，參加了驅逐害蟲奇奇利的行動。",[],
0x1730,5936,152,21,"每個人都在為只要擊退蟲子便能輕鬆賺錢的工作意氣昂揚。
不過……哈克卻和他們相反，感受到某種異樣感{{LOCK_AT_DASH}}","[""{{LOCK_AT_DASH}}""]",
0x1878,6264,52,10,你們已經準備好了嗎？差不多要來了。,[],
0x1934,6452,40,9,麻呂呂，身體已經恢復了吧？,[],
0x19FB,6651,106,320,喔呵呵，讓你們擔心了。就像你們看到的，麻呂通體舒暢，已經完全復活是也。,[],
0x1AFC,6908,37,317,就好好觀賞麻呂的秘術吧。,[],
0x1BD4,7124,88,230,雖然我能接受這個狀況……不過要對上那種東西，真的不要緊吧？,[],
0x1E33,7731,25,2,你們注意，來了。,[],
0x1E7D,7805,19,2,…………嗯？,[],
0x1EBD,7869,28,2,哦哦，還真大隻呢。,[],
0x1F0C,7948,13,1,嗯嗯嗯？,[],
0x1F30,7984,16,1,大……隻？,[],
0x1F8E,8078,52,3,不，總覺得很小……不對，太小了吧。,[],
0x200D,8205,25,2,糟糕，數量真多。,[],
0x20A9,8361,64,6,還真大隻啊。被那種東西咬到可不是鬧著玩的。,[],
0x21C3,8643,76,65,不，那東西很大隻？和我之前遇到的完全不能比啊{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]",
0x228A,8842,22,3,麻呂呂，上吧！,[],
0x22E7,8935,22,5,交給麻呂是也。,[],
0x2393,9107,82,12,麻呂呂挺起胸膛向前踏出一步，邊扭動身體，同時喃喃自語。,[],
0x24BC,9404,100,60,翁波可波可，翁可羅可羅，波塔納帕沙朗，沙麥可沙波塔亞，后伊沙沙……,[],
0x258E,9614,31,4,…………我說，久遠。,[],
0x25D8,9688,13,2,怎麼了？,[],
0x2626,9766,40,7,那個詭異的舞蹈是怎麼回事。,[],
0x26FB,9979,103,47,詭異的舞蹈？啊，那不是在跳舞，而是在施術法……啊，這一帶叫做咒法吧。,[],
0x27BF,10175,10,3,呪法？,[],
0x2846,10310,110,12,"就是透過結印，將念力轉為力量的術法。
相較之下，更適合弱小且陰暗的人使用。",[],
0x2975,10613,55,9,嗚……麻呂纖細的心靈受到打擊了是也。,[],
0x2A3B,10811,34,5,小姐妳還真不留情啊……,[],
0x2B10,11024,137,14,"話說回來，一開始好像有提到要讓麻呂呂做什麼，原來是這回事
嗎。因為是他的事，我沒有認真在聽。",[],
0x2C29,11305,40,4,不，比起這種事，她說咒法？,[],
0x2CA8,11432,52,7,怎麼可能辦到那種像魔法一樣的事……,[],
0x2D42,11586,10,1,な……,[],
0x2D4C,11596,10,1,什……,[],
0x2D7F,11647,19,3,好，幹得好！,[],
0x2DF3,11763,80,327,"啊，之後就交給你們了。
麻呂已經累到站不起來了是也……",[],
0x2ED0,11984,37,3,居然真的是……魔法……？,[],
