row,key_hash_hex,record_index,jaJP_flags,jaJP_text,enUS_flags,enUS_text,zhTW_flags,zhTW_text
0,01C2AE5F,315,27,【제9장】 시노논의 외출 후편 후,27,[Chapter 9] Shinonon's Excursion III - 2,27,【第九章】 詩諾農出門 後篇 後
1,0209A870,71,0,【제6장】 노스리의 잔,0,[Chapter 6] Nosuri's Cup,0,【第六章】 鵟的酒杯
2,02467A31,339,3,【최종장】 황제의 세상 바로잡기 여행 중편 후,3,[Final Chapter] The Mikado's Quest to Restore the Kingdom II - 2,3,【最終章】 帝的世間改革之旅 中篇 後
3,048DB8DA,307,35,【제8장】 황자와 소녀 후,35,[Chapter 8] The Prince and the Girl II,35,【第八章】 皇子與少女 後
4,054FD2ED,296,46,"【제6장】 부흥, 루모이 관문 후",46,[Chapter 6] Restoring Rumoy Pass III,46,【第六章】 復興魯摩伊關卡 後
5,05E433CC,104,0,【제8장】 두 사람의 형 [모노로그],0,[Chapter 8] Two Brothers [Monologue],0,【第八章】 兩人的哥哥 ［獨白］
6,0672BA2B,257,0,【제1장】 프롤로그 [비주얼 시네마],0,[Chapter 1] Prologue [Cinematic],0,【第壹章】 序幕 ［視覺影片］
7,06CB0683,273,69,【제1장】 아투이의 귀신 훈련 후,69,[Chapter 1] Atuy's Relentless Training III,69,【第壹章】 阿圖依的魔鬼訓練 後
8,07096CB4,284,58,【제3장】 노스리 일파 합류 후,58,[Chapter 3] Nosuri Thieves Union II,58,【第參章】 與鵟一派會合 後
9,075ADD95,233,0,【제1장】 돌아갈 수 없는 마음 중 [비주얼 시네마],0,[Chapter 1] Irretrievable Memories II [Cinematic],0,【第壹章】 無處可歸的念想 中 ［視覺影片］
10,076849A0,185,0,【제15장】 또 한 명의 후계자,0,[Chapter 15] Another Successor,0,【第拾伍章】 另一位繼承人
11,07EF8EBA,137,0,【제11장】 망집의 불꽃 전-3,0,[Chapter 11] Flames of Delusion I - 3,0,【第拾壹章】 執念火炎 前-3
12,088D47A4,195,0,【제15장】 궤계 돌파 후,0,[Chapter 15] Tearing Through a Tangled Web II,0,【第拾伍章】 打破詭計 後
13,0AACD2A2,97,0,【제7장】 언니랑 함께,0,[Chapter 7] With Big Sister,0,【第七章】 跟姊姊在一起
14,0BCBC54F,216,0,【제18장】 위찰네미테아의 딸-1,0,[Chapter 18] Daughter of Uitsualnemetia - 1,0,【第拾八章】 維茨亞奈米迪亞的女兒-1
15,0C01EE65,249,0,【제17장】 소원의 끝-3 [비주얼 시네마],0,[Chapter 17] End of a Wish - 3 [Cinematic],0,【第拾七章】 願望的最後-3 ［視覺影片］
16,0DDB57B7,52,0,【제4장】 결별 후,0,[Chapter 4] Farewell II,0,【第肆章】 決別 後
17,0EA2772F,27,0,【제1장】 도박꾼 노스리,0,[Chapter 1] Gambling Nosuri,0,【第壹章】 賭徒──鵟
18,0F5B7AFB,334,8,【최종장】 황자의 사내다움 갈고닦기 중,8,[Final Chapter] A Prince's Journey to Manhood II,8,【最終章】 皇子的男子氣概訓練 中
19,0FD323FF,88,0,【제7장】 무네치카에게 부탁,0,[Chapter 7] A Request for Munechika,0,【第七章】 給宗近的委託
20,11454689,345,0,【제11장】 어머니여 중 [비주얼 시네마],0,[Chapter 11] Mother II [Cinematic],0,【第拾壹章】 母親啊 中 ［視覺影片］
21,1180BDE6,236,0,【제18장】 마지막 해방 중 [비주얼 시네마],0,[Chapter 18] Final Release II [Cinematic],0,【第拾八章】 最後的解放 中 ［視覺影片］
22,11858FD5,95,0,【제7장】 쿠쥬우리로,0,[Chapter 7] To Kujyuri,0,【第七章】 前往九重里
23,120C069C,360,0,맡겨진 것 중-2 [비주얼 시네마],0,What Was Entrusted II - 2 [Cinematic],0,受託之人 中-2 ［視覺影片］
24,123C47D3,225,0,【최종장】 신화의 시작 후-3,0,[Final Chapter] The Beginning of a Myth II - 3,0,【最終章】 神話的開端 後-3
25,15DEF13D,4,0,【제1장】 오슈토르로서 [모노로그],0,[Chapter 1] As Oshtor [Monologue],0,【第壹章】 作為奧修特爾 ［獨白］
