row,key_hash_hex,record_index,jaJP_flags,jaJP_text,enUS_flags,enUS_text,zhTW_flags,zhTW_text
0,01C2AE5F,315,27,【第九章】 シノノンのお出かけ 後編 後,27,[Chapter 9] Shinonon's Excursion III - 2,27,【第九章】 詩諾農出門 後篇 後
1,0209A870,71,0,【第六章】 ノスリの盃,0,[Chapter 6] Nosuri's Cup,0,【第六章】 鵟的酒杯
2,02467A31,339,3,【最終章】 帝の世直し旅 中編 後,3,[Final Chapter] The Mikado's Quest to Restore the Kingdom II - 2,3,【最終章】 帝的世間改革之旅 中篇 後
3,048DB8DA,307,35,【第八章】 皇子と少女 後,35,[Chapter 8] The Prince and the Girl II,35,【第八章】 皇子與少女 後
4,054FD2ED,296,46,【第六章】 復興、ルモイの関 後,46,[Chapter 6] Restoring Rumoy Pass III,46,【第六章】 復興魯摩伊關卡 後
5,05E433CC,104,0,【第八章】 二人の兄 ［モノローグ］,0,[Chapter 8] Two Brothers [Monologue],0,【第八章】 兩人的哥哥 ［獨白］
6,0672BA2B,257,0,【第壱章】 プロローグ ［ビジュアルシネマ］,0,[Chapter 1] Prologue [Cinematic],0,【第壹章】 序幕 ［視覺影片］
7,06CB0683,273,69,【第壱章】 アトゥイの鬼訓練 後,69,[Chapter 1] Atuy's Relentless Training III,69,【第壹章】 阿圖依的魔鬼訓練 後
8,07096CB4,284,58,【第参章】 ノスリ一派合流 後,58,[Chapter 3] Nosuri Thieves Union II,58,【第參章】 與鵟一派會合 後
9,075ADD95,233,0,【第壱章】 戻れぬ想い 中 ［ビジュアルシネマ］,0,[Chapter 1] Irretrievable Memories II [Cinematic],0,【第壹章】 無處可歸的念想 中 ［視覺影片］
10,076849A0,185,0,【第拾伍章】 もうひとりの後継者,0,[Chapter 15] Another Successor,0,【第拾伍章】 另一位繼承人
11,07EF8EBA,137,0,【第拾壱章】 妄執の炎 前-3,0,[Chapter 11] Flames of Delusion I - 3,0,【第拾壹章】 執念火炎 前-3
12,088D47A4,195,0,【第拾伍章】 詭計突破 後,0,[Chapter 15] Tearing Through a Tangled Web II,0,【第拾伍章】 打破詭計 後
13,0AACD2A2,97,0,【第七章】 お姉ちゃんと一緒,0,[Chapter 7] With Big Sister,0,【第七章】 跟姊姊在一起
14,0BCBC54F,216,0,【第拾八章】 ウィツァルネミテアの娘-1,0,[Chapter 18] Daughter of Uitsualnemetia - 1,0,【第拾八章】 維茨亞奈米迪亞的女兒-1
15,0C01EE65,249,0,【第拾七章】 願いの果て-3 ［ビジュアルシネマ］,0,[Chapter 17] End of a Wish - 3 [Cinematic],0,【第拾七章】 願望的最後-3 ［視覺影片］
16,0DDB57B7,52,0,【第四章】 決別 後,0,[Chapter 4] Farewell II,0,【第肆章】 決別 後
17,0EA2772F,27,0,【第壱章】 博徒ノスリ,0,[Chapter 1] Gambling Nosuri,0,【第壹章】 賭徒──鵟
18,0F5B7AFB,334,8,【最終章】 皇子の漢磨き 中,8,[Final Chapter] A Prince's Journey to Manhood II,8,【最終章】 皇子的男子氣概訓練 中
19,0FD323FF,88,0,【第七章】 ムネチカへの依頼,0,[Chapter 7] A Request for Munechika,0,【第七章】 給宗近的委託
20,11454689,345,0,【第拾壱章】 母よ 中 ［ビジュアルシネマ］,0,[Chapter 11] Mother II [Cinematic],0,【第拾壹章】 母親啊 中 ［視覺影片］
21,1180BDE6,236,0,【第拾八章】 最後の解放 中 ［ビジュアルシネマ］,0,[Chapter 18] Final Release II [Cinematic],0,【第拾八章】 最後的解放 中 ［視覺影片］
22,11858FD5,95,0,【第七章】 クジュウリへ,0,[Chapter 7] To Kujyuri,0,【第七章】 前往九重里
23,120C069C,360,0,託されしもの 中-2 ［ビジュアルシネマ］,0,What Was Entrusted II - 2 [Cinematic],0,受託之人 中-2 ［視覺影片］
24,123C47D3,225,0,【最終章】 神話の始まり 後-3,0,[Final Chapter] The Beginning of a Myth II - 3,0,【最終章】 神話的開端 後-3
25,15DEF13D,4,0,【第壱章】 オシュトルとして ［モノローグ］,0,[Chapter 1] As Oshtor [Monologue],0,【第壹章】 作為奧修特爾 ［獨白］
26,1616C939,229,0,【最終章】 二人の白皇,0,[Final Chapter] Mask of Truth,0,【最終章】 二人的白皇
27,18D99F1E,314,28,【第九章】 シノノンのお出かけ 後編 前,28,[Chapter 9] Shinonon's Excursion III - 1,28,【第九章】 詩諾農出門 後篇 前
28,1A148864,67,0,【第伍章】 竜虎相打つ-1,0,[Chapter 5] Dragon and Tiger Collide - 1,0,【第伍章】 龍虎相搏-1
29,1B5D4B70,338,4,【最終章】 帝の世直し旅 中編 前,4,[Final Chapter] The Mikado's Quest to Restore the Kingdom II - 1,4,【最終章】 帝的世間改革之旅 中篇 前
30,1C54E3AC,294,48,【第六章】 復興、ルモイの関 前,48,[Chapter 6] Restoring Rumoy Pass I,48,【第六章】 復興魯摩伊關卡 前
31,1CA75739,114,0,【第九章】 ノスリとゲンホウ,0,[Chapter 9] Nosuri and Genho,0,【第九章】 鵟與彥峰
32,1D616560,118,0,【第九章】 策動の森 前,0,[Chapter 9] Forest of Schemes I,0,【第九章】 危機重重的森林 前
33,1D96899B,306,36,【第八章】 皇子と少女 前,36,[Chapter 8] The Prince and the Girl I,36,【第八章】 皇子與少女 前
34,1DAD977E,228,0,【最終章】 二人の白皇 ［モノローグ］,0,[Final Chapter] Mask of Truth [Monologue],0,【最終章】 二人的白皇 ［獨白］
35,1E125DF5,283,59,【第参章】 ノスリ一派合流 前,59,[Chapter 3] Nosuri Thieves Union I,59,【第參章】 與鵟一派會合 前
36,1FD037C2,271,71,【第壱章】 アトゥイの鬼訓練 前,71,[Chapter 1] Atuy's Relentless Training I,71,【第壹章】 阿圖依的魔鬼訓練 前
37,1FD7DA3C,116,0,【第九章】 ノスリたれ,0,[Chapter 9] Foolish Nosuri,0,【第九章】 所謂鵟其人
38,222A14E8,65,0,【第伍章】 トゥスクルよりの使者 ［モノローグ］,0,[Chapter 5] The Messenger from Tuskur [Monologue],0,【第伍章】 來自圖斯庫爾的使者［獨白］
39,23D45D4E,224,0,【最終章】 神話の始まり 後-2,0,[Final Chapter] The Beginning of a Myth II - 2,0,【最終章】 神話的開端 後-2
40,23D4683B,243,0,【第四章】 対なるもの 前-2 ［ビジュアルシネマ］,0,[Chapter 4] Mirror Opposites I - 2 [Cinematic],0,【第肆章】 成對之物 前-2 ［視覺影片］
41,25ABF8BE,204,0,【第拾七章】 深淵より来る声 前-2,0,[Chapter 17] Voice from the Abyss I - 2,0,【第拾七章】 來自深淵的呼喚 前-2
42,26120030,20,0,【第壱章】 義賊の矜持 後,0,[Chapter 1] Pride of a Gentleman Thief II,0,【第壹章】 義賊的尊嚴 後
43,279336C4,30,0,【第壱章】 美味しい毒味,0,[Chapter 1] The Delicious Taste of Poison,0,【第壹章】 美味之毒
44,286F8DCD,362,0,スタッフロール・真,0,Ending Credits: True,0,工作人員名單‧真
45,28A7D404,43,0,【第四章】 ノスリの氏族,0,[Chapter 4] Nosuri's Clan,0,【第肆章】 鵟的部族
46,28A943C5,318,24,【第九章】 オシュトルの剣 後編 前,24,[Chapter 9] The Blade of Oshtor III - 1,24,【第九章】 奧修特爾的劍 後篇 前
47,296B29F2,336,6,【最終章】 帝の世直し旅 前編 前,6,[Final Chapter] The Mikado's Quest to Restore the Kingdom I - 1,6,【最終章】 帝的世間改革之旅 前篇 前
48,2AEFFD9C,322,20,【第拾壱章】 エンナカムイ大演習 前,20,[Chapter 11] Ennakamuy War Games I,20,【第拾壹章】 恩納卡姆依大演習 前
49,2B2D97AB,326,16,【第拾四章】 旅の博徒 後編 前,16,[Chapter 14] The Traveling Gambler II - 1,16,【第拾肆章】 漂泊的賭徒 後篇 前
50,2B6F72D7,355,0,天火の采配師 後,0,Tactician of Heavenly Fire II,0,烤爐的軍師 後
51,2C243F77,281,61,【第参章】 ノスリの弓兵部隊 前,61,[Chapter 3] Nosuri's Archer Squad I,61,【第參章】 鵟的弓兵部隊 前
52,2C4AF799,94,0,【第七章】 マロロを覆う影,0,[Chapter 7] The Shadow Over Maroro,0,【第七章】 壟罩麻呂呂的陰霾
53,2D4D5A33,49,0,【第四章】 エンナカムイ侵攻 ［モノローグ］,0,[Chapter 4] Ennakamuy Invasion [Monologue],0,【第肆章】 侵略恩納卡姆依 ［獨白］
54,2D51727C,29,0,【第壱章】 アトゥイ、退屈する,0,[Chapter 1] Atuy is Bored,0,【第壹章】 阿圖依，深感枯燥
55,2DE65540,267,75,【第壱章】 近衛衆合流 前,75,[Chapter 1] Combining Forces I,75,【第壹章】 與近衛眾會合 前
56,2E62812E,292,50,【第伍章】 月夜の喧嘩 前,50,[Chapter 5] The Moonlight Fight I,50,【第伍章】 月夜的爭執 前
57,2FA0EB19,304,38,【第七章】 シノノンのお出かけ 中編 前,38,[Chapter 7] Shinonon's Excursion II - 1,38,【第七章】 詩諾農出門 中篇 前
58,2FA4322E,112,0,【第九章】 氏族長の証 ［モノローグ］,0,[Chapter 9] Proof of Clan Leadership [Monologue],0,【第九章】 族長之證 ［獨白］
59,30358B39,239,0,【最終章】 神話の始まり 後-5 ［ビジュアルシネマ］,0,[Final Chapter] The Beginning of a Myth II - 5 [Cinematic],0,【最終章】 神話的開端 後-5 ［視覺影片］
60,307018B3,337,5,【最終章】 帝の世直し旅 前編 後,5,[Final Chapter] The Mikado's Quest to Restore the Kingdom I - 2,5,【最終章】 帝的世間改革之旅 前篇 後
61,310DD3AC,192,0,【第拾伍章】 叡智への扉-1,0,[Chapter 15] Door to Wisdom I,0,【第拾伍章】 通往睿智之扉-1
62,31B27284,319,23,【第九章】 オシュトルの剣 後編 後,23,[Chapter 9] The Blade of Oshtor III - 2,23,【第九章】 奧修特爾的劍 後篇 後
63,3236A6EA,327,15,【第拾四章】 旅の博徒 後編 後,15,[Chapter 14] The Traveling Gambler II - 2,15,【第拾肆章】 漂泊的賭徒 後篇 後
64,32744396,356,0,黒き皇女 前,0,The Dark Princess I,0,漆黑皇女 前
65,3344F916,83,0,【第六章】 アンジュ出陣 中,0,[Chapter 6] Anju Goes Into Battle II,0,【第六章】 杏樹出陣 中
66,33F4CCDD,323,19,【第拾壱章】 エンナカムイ大演習 後,19,[Chapter 11] Ennakamuy War Games II,19,【第拾壹章】 恩納卡姆依大演習 後
67,33F6B303,31,0,【第壱章】 仕立てと追想,0,[Chapter 1] Prep and Reminiscence,0,【第壹章】 樣式與追憶
68,34E4A750,136,0,【第拾壱章】 妄執の炎 前-1,0,[Chapter 11] Flames of Delusion I - 1,0,【第拾壹章】 執念火炎 前-1
69,34FD6401,270,72,【第壱章】 近衛衆合流 後-2,72,[Chapter 1] Combining Forces III - 2,72,【第壹章】 與近衛眾會合 後-2
70,353F0E36,282,60,【第参章】 ノスリの弓兵部隊 後,60,[Chapter 3] Nosuri's Archer Squad II,60,【第參章】 鵟的弓兵部隊 後
71,35532583,150,0,【第拾弐章】 豪敵、再び ［モノローグ］,0,[Chapter 12] Return of a Fierce Adversary [Monologue],0,【第拾貳章】 強敵再次現身 ［獨白］
72,35642B2D,119,0,【第九章】 策動の森 後-1,0,[Chapter 9] Forest of Schemes II - 1,0,【第九章】 危機重重的森林 後-1
73,36BBDA58,305,37,【第七章】 シノノンのお出かけ 中編 後,37,[Chapter 7] Shinonon's Excursion II - 2,37,【第七章】 詩諾農出門 中篇 後
74,3779B06F,293,49,【第伍章】 月夜の喧嘩 後,49,[Chapter 5] The Moonlight Fight II,49,【第伍章】 月夜的爭執 後
75,381E634A,98,0,【第七章】 シスの想い ［モノローグ］,0,[Chapter 7] Shis' Feelings [Monologue],0,【第七章】 希絲的心意 ［獨白］
76,38220EFC,277,65,【第弐章】 シノノンのお出かけ 前編 中,65,[Chapter 2] Shinonon's Excursion I - 2,65,【第貳章】 詩諾農出門 前篇 中
77,3AAF2067,179,0,【第拾伍章】 聖地からの使者,0,[Chapter 15] Messenger from Sacred Land,0,【第拾伍章】 來自聖地的使者
78,3AEC389C,163,0,【第拾参章】 決戦の帝都 中-3,0,[Chapter 13] Imperial Capital Showdown II - 3,0,【第拾參章】 帝都決戰 中-3
79,3BA8ECA2,51,0,【第四章】 決別 前,0,[Chapter 4] Farewell I,0,【第肆章】 決別 前
80,3BB461F7,144,0,【第拾弐章】 月夜の密航者,0,[Chapter 12] Moonlight Stowaway,0,【第拾貳章】 月夜下的偷渡客
81,3BDF1E57,247,0,【第拾弐章】 豪雄激突 中 ［ビジュアルシネマ］,0,[Chapter 12] Clash of Titans II [Cinematic],0,【第拾貳章】 豪傑纏鬥 中 ［視覺影片］
82,3C26DC88,215,0,【第拾八章】 大封印 後,0,[Chapter 18] Ohn Riyaak II,0,【第拾八章】 大封印 後
83,3C315ABD,113,0,【第九章】 イズルハへ,0,[Chapter 9] To Izuruha,0,【第九章】 前往伊茲魯哈
84,3D6D1879,331,11,【最終章】 ムネチカの武者修行 後編 中,11,[Final Chapter] Munechika's Training Journey III - 2,11,【最終章】 宗近的武士修行 後篇 中
85,3DE9464B,135,0,【第拾章】 強襲 後-3,0,[Chapter 10] Assault III - 3,0,【第拾章】 強襲 後-3
86,3E3E4252,22,0,【第壱章】 心、ここに在らず 後,0,[Chapter 1] An Absent Heart II,0,【第壹章】 心不在焉 後
87,3E8DA0D2,265,77,【第壱章】 エンナカムイ周辺の偵察 中,77,[Chapter 1] Ennakamuy Area Recon II,77,【第壹章】 偵察恩納卡姆依周邊 中
