jp,en,kr
【第九章】 シノノンのお出かけ 後編 後,[Chapter 9] Shinonon's Excursion III - 2,【제9장】 시노논의 외출 후편 후
【第六章】 ノスリの盃,[Chapter 6] Nosuri's Cup,【제6장】 노스리의 잔
【最終章】 帝の世直し旅 中編 後,[Final Chapter] The Mikado's Quest to Restore the Kingdom II - 2,【최종장】 황제의 세상 바로잡기 여행 중편 후
【第八章】 皇子と少女 後,[Chapter 8] The Prince and the Girl II,【제8장】 황자와 소녀 후
【第六章】 復興、ルモイの関 後,[Chapter 6] Restoring Rumoy Pass III,"【제6장】 부흥, 루모이 관문 후"
【第八章】 二人の兄 ［モノローグ］,[Chapter 8] Two Brothers [Monologue],【제8장】 두 사람의 형 [모노로그]
【第壱章】 プロローグ ［ビジュアルシネマ］,[Chapter 1] Prologue [Cinematic],【제1장】 프롤로그 [비주얼 시네마]
【第壱章】 アトゥイの鬼訓練 後,[Chapter 1] Atuy's Relentless Training III,【제1장】 아투이의 귀신 훈련 후
【第参章】 ノスリ一派合流 後,[Chapter 3] Nosuri Thieves Union II,【제3장】 노스리 일파 합류 후
【第壱章】 戻れぬ想い 中 ［ビジュアルシネマ］,[Chapter 1] Irretrievable Memories II [Cinematic],【제1장】 돌아갈 수 없는 마음 중 [비주얼 시네마]
【第拾伍章】 もうひとりの後継者,[Chapter 15] Another Successor,【제15장】 또 한 명의 후계자
【第拾壱章】 妄執の炎 前-3,[Chapter 11] Flames of Delusion I - 3,【제11장】 망집의 불꽃 전-3
【第拾伍章】 詭計突破 後,[Chapter 15] Tearing Through a Tangled Web II,【제15장】 궤계 돌파 후
【第七章】 お姉ちゃんと一緒,[Chapter 7] With Big Sister,【제7장】 언니랑 함께
【第拾八章】 ウィツァルネミテアの娘-1,[Chapter 18] Daughter of Uitsualnemetia - 1,【제18장】 위차르네미테아의 딸-1
【第拾七章】 願いの果て-3 ［ビジュアルシネマ］,[Chapter 17] End of a Wish - 3 [Cinematic],【제17장】 소원의 끝-3 [비주얼 시네마]
【第四章】 決別 後,[Chapter 4] Farewell II,【제4장】 결별 후
【第壱章】 博徒ノスリ,[Chapter 1] Gambling Nosuri,【제1장】 도박꾼 노스리
【最終章】 皇子の漢磨き 中,[Final Chapter] A Prince's Journey to Manhood II,【최종장】 황자의 사내다움 갈고닦기 중
【第七章】 ムネチカへの依頼,[Chapter 7] A Request for Munechika,【제7장】 무네치카에게 부탁
【第拾壱章】 母よ 中 ［ビジュアルシネマ］,[Chapter 11] Mother II [Cinematic],【제11장】 어머니여 중 [비주얼 시네마]
【第拾八章】 最後の解放 中 ［ビジュアルシネマ］,[Chapter 18] Final Release II [Cinematic],【제18장】 마지막 해방 중 [비주얼 시네마]
【第七章】 クジュウリへ,[Chapter 7] To Kujyuri,【제7장】 쿠쥬우리로
託されしもの 中-2 ［ビジュアルシネマ］,What Was Entrusted II - 2 [Cinematic],맡겨진 것 중-2 [비주얼 시네마]
【最終章】 神話の始まり 後-3,[Final Chapter] The Beginning of a Myth II - 3,【최종장】 신화의 시작 후-3
【第壱章】 オシュトルとして ［モノローグ］,[Chapter 1] As Oshtor [Monologue],【제1장】 오슈토르로서 [모노로그]
【最終章】 二人の白皇,[Final Chapter] Mask of Truth,【최종장】 두 사람의 백황
【第九章】 シノノンのお出かけ 後編 前,[Chapter 9] Shinonon's Excursion III - 1,【제9장】 시노논의 외출 후편 전
【第伍章】 竜虎相打つ-1,[Chapter 5] Dragon and Tiger Collide - 1,【제5장】 용호상박-1
【最終章】 帝の世直し旅 中編 前,[Final Chapter] The Mikado's Quest to Restore the Kingdom II - 1,【최종장】 황제의 세상 바로잡기 여행 중편 전
